target,fuzzer,category,n_resolved,n_branches,rate
libxml2,libfuzzer,i2s_relational_collision_gate,2,3,0.6667
libxml2,libfuzzer,i2s_structural_assembly_reach_depth,2,2,1.0000
libxml2,libfuzzer,ngram_sequential_depth_reach,2,2,1.0000
libxml2,libfuzzer,vp_gradient_drives_assembly_depth,9,9,1.0000
libxml2,libfuzzer,vp_gradient_value_distance_closure,5,5,1.0000
libxml2,libfuzzer,vpc_anti_depth_diversion,1,1,1.0000
libxml2,libafl,ctx_iteration_path_depth,1,3,0.3333
libxml2,libafl,grimoire_structural_size_depth,0,1,0.0000
libxml2,libafl,grimoire_structural_token_assembly,0,3,0.0000
libxml2,libafl,i2s_numeric_tag_substitution,1,1,1.0000
libxml2,libafl,i2s_relational_collision_gate,0,3,0.0000
libxml2,libafl,i2s_structural_assembly_reach_depth,1,2,0.5000
libxml2,libafl,ngram_sequential_depth_reach,1,2,0.5000
libxml2,libafl,vp_gradient_drives_assembly_depth,0,9,0.0000
libxml2,libafl,vp_gradient_value_distance_closure,1,5,0.2000
libxml2,libafl,vpc_anti_depth_diversion,0,1,0.0000
openthread,aflplusplus,i2s_anti_target_depletion,2,2,1.0000
openthread,aflplusplus,i2s_numeric_tag_substitution,7,7,1.0000
openthread,aflplusplus,i2s_string_literal_substitution,3,4,0.7500
openthread,honggfuzz,i2s_anti_target_depletion,0,2,0.0000
openthread,honggfuzz,i2s_numeric_tag_substitution,0,7,0.0000
openthread,honggfuzz,i2s_string_literal_substitution,0,4,0.0000
openthread,libfuzzer,i2s_anti_target_depletion,0,2,0.0000
openthread,libfuzzer,i2s_numeric_tag_substitution,7,7,1.0000
openthread,libfuzzer,i2s_string_literal_substitution,4,4,1.0000
openthread,libafl,i2s_anti_target_depletion,0,2,0.0000
openthread,libafl,i2s_numeric_tag_substitution,7,7,1.0000
openthread,libafl,i2s_string_literal_substitution,4,4,1.0000
sqlite3,aflplusplus,i2s_string_literal_substitution,2,2,1.0000
sqlite3,aflplusplus,vp_admits_structurally_richer_corpus,4,4,1.0000
sqlite3,aflplusplus,vp_gradient_drives_assembly_depth,3,3,1.0000
sqlite3,aflplusplus,vp_gradient_value_distance_closure,11,11,1.0000
sqlite3,aflplusplus,vp_operand_byte_enrichment,1,1,1.0000
sqlite3,honggfuzz,i2s_string_literal_substitution,2,2,1.0000
sqlite3,honggfuzz,vp_admits_structurally_richer_corpus,4,4,1.0000
sqlite3,honggfuzz,vp_gradient_drives_assembly_depth,3,3,1.0000
sqlite3,honggfuzz,vp_gradient_value_distance_closure,11,11,1.0000
sqlite3,honggfuzz,vp_operand_byte_enrichment,1,1,1.0000
sqlite3,libfuzzer,i2s_string_literal_substitution,2,2,1.0000
sqlite3,libfuzzer,vp_admits_structurally_richer_corpus,4,4,1.0000
sqlite3,libfuzzer,vp_gradient_drives_assembly_depth,3,3,1.0000
sqlite3,libfuzzer,vp_gradient_value_distance_closure,11,11,1.0000
sqlite3,libfuzzer,vp_operand_byte_enrichment,1,1,1.0000
sqlite3,libafl,i2s_string_literal_substitution,0,2,0.0000
sqlite3,libafl,vp_admits_structurally_richer_corpus,0,4,0.0000
sqlite3,libafl,vp_gradient_drives_assembly_depth,0,3,0.0000
sqlite3,libafl,vp_gradient_value_distance_closure,0,11,0.0000
sqlite3,libafl,vp_operand_byte_enrichment,0,1,0.0000
