id,feature name,original_label,winner fuzzers,loser fuzzers,desc,delta_tech,direction,branch count,feature family,duplicates,final
11,ctx_coverage_climbs_to_the_loop_threshold,ctx_loop_iteration_threshold,naive_ctx,naive,"Plain coverage sees the loop's back-edge fire once and calls the whole loop ""covered"", every depth looks identical, so it has zero pull toward more iterations. The fuzzer has no reason to prefer a depth-50 input over a depth-2 input; they're coverage-equivalent. So it never systematically grows the count, and a high threshold is essentially unreachable by luck.
Context-sensitive coverage breaks the symmetry: each new recursion depth or re-entry is a distinct context, so reaching depth 11 when you'd only ever reached depth 10 registers as genuinely new coverage. That manufactures the missing gradient. The fuzzer is now rewarded for each incremental step deeper, retains the depth-N seed, mutates it toward depth-N+1, and ratchets the count up to the threshold.",Feedback mechanism = ctx_coverage,pro,2,ctx_coverage_pro,,y
12,ctx_coverage_explores_shared_helper_per_caller,ctx_multi_caller_shared_function_coverage,naive_ctx,naive,"A shared helper, parse_int, validate, some common utility, gets called from many sites. Plain coverage records the helper's internal edges once; the first caller to reach it ""saturates"" it, and when a second caller reaches the same helper with different inputs, plain coverage sees nothing new and gives no reward to explore the helper from that caller's context. Context-sensitive coverage gives each caller its own (context, edge) bucket, so each new caller keeps the helper explorable. The corpus retains inputs that exercise the helper under each distinct caller. naive_ctx > naive.",Feedback mechanism = ctx_coverage,pro,10,ctx_coverage_pro,,y
13,ctx_parser_reduction_incremental_build,ctx_parser_reduction_incremental_build,naive_ctx,naive,"Blocker requires deep nested parse structure, context coverage treats each reduction call path as novel, retaining intermediate seeds that let the fuzzer build to depth. That is the same mechanism, context manufactures a gradient over depth by distinguishing the same code re-entered at different depths, so intermediate-depth seeds stay rewarded and the corpus ratchets deeper.",Feedback mechanism = ctx_coverage,pro,3,ctx_coverage_pro,,n
14,ctx_script_dispatch_codepoint_targeting,ctx_script_dispatch_codepoint_targeting,naive_ctx,naive,"Recall that feature: the blocker requires a specific single-byte/small-literal value; context coverage retains structurally-shaped intermediate seeds (the definition's examples were ""IHDR-valid, format-valid"") as distinct coverage events, giving havoc more launch points to mutate the target byte. Swap ""IHDR-valid PNG"" for ""valid glyph exercising the shaper dispatch,"" swap ""target byte"" for ""target codepoint,"" and it's the same mechanism: context coverage keeps a population of on-path valid seeds alive so havoc gets more shots at landing a specific value. The per-glyph dispatch loop is what generates the distinct contexts that keep those glyph-exercising seeds looking novel, exactly as the multi-caller structure did for the helper",Feedback mechanism = ctx_coverage,pro,7,ctx_coverage_pro,,n
15,ctx_state_machine_intermediate_retention,ctx_state_machine_intermediate_retention,naive_ctx,naive,"Stepping-stones: blocker at the far end of a long sequential call chain; context coverage treats each (call-context, edge) along the chain as novel, building a corpus of intermediate stepping-stone seeds that naive discards once the bare edges saturate. This one: blocker is a state-machine/grammar condition requiring a multi-step sequence; context coverage retains intermediate parse-state seeds as distinct coverage events, accumulating partial-progress states that naive collapses. Same mechanism, same gradient (context manufactures reward for partial progress toward depth), same failure for naive (collapses/discards the intermediates), same direction. The word ""retains,"" the word ""intermediate,"" the phrase ""naive collapses/discards"", this is the stepping-stones vocabulary almost verbatim.",Feedback mechanism = ctx_coverage,pro,7,ctx_coverage_pro,,n
16,grimoire_gaps_out_the_required_literal,grimoire_gap_abstraction_erases_literal,cmplog,grimoire,"The blocker needs one exact byte present. Grimoire's habit of blanking out bytes to find reusable structure blanks out the very byte the bug required, it deletes the answer from its own stored inputs. Cmplog, just copying the exact value in, wins.",Grimoire Mutation Set = on,anti,2,grimoire_structural_anti,,y
17,grimoire_fragments_cant_reach_depth,grimoire_generalization_tax_depth_starvation,cmplog,grimoire,"The blocker needs a long, coherent input that drives the parser deep. Grimoire's chop-and-restitch habit produces short, broken inputs that fall apart early and never get there; cmplog extends one coherent input and does. ",Grimoire Mutation Set = on,anti,1,grimoire_structural_anti,provisional: single member,n
18,grimoire_deletes_field_to_empty,grimoire_structural_degenerate_field_collapse,grimoire,cmplog,"The blocker only gets unblocked on an empty or NULL field inside an otherwise valid document. Emptiness isn't a value you can copy, there's nothing to read off a comparison that says ""put nothing here"", so cmplog's value-copying is useless. Grimoire's delete mutator collapses a field to empty and hits the path.",Grimoire Mutation Set = on,pro,6,grimoire_structural_pro,,y
19,grimoire_assembles_the_nested_tree,grimoire_structural_element_tree_topology,grimoire,cmplog,"The blocker lives in a code path reached only by a specific shape of nested structure, balanced tags, a childless element next to a sibling, deep recursion. That's a property of the whole tree, not any single value, so cmplog can't copy its way there. Grimoire splices open/close fragments into the right topology.",Grimoire Mutation Set = on,pro,5,grimoire_structural_pro,20,y
20,grimoire_structural_format_token_splicing,grimoire_structural_format_token_splicing,grimoire,cmplog,"(the OpenType/font-skeleton one). It's the same ""splice valid tokens into the structure the parser needs"" mechanism, just with font table tags instead of XML tags. ",Grimoire Mutation Set = on,pro,5,grimoire_structural_pro,,n
21,grimoire_co_assembles_dependent_constructs,grimoire_structural_multi_construct_skeleton,grimoire,cmplog,"The blocker needs several different grammar pieces all present and mutually consistent at once, a prolog and a DOCTYPE and a body element that references what the DOCTYPE declared; or a namespace declaration plus an element that actually uses that prefix. Cmplog is stuck on one template and corrupts the load-bearing parts while chasing local mutations; grimoire keeps the whole skeleton intact and co-varies the dependent pieces.",Grimoire Mutation Set = on,pro,9,grimoire_structural_pro,22,y
22,grimoire_structural_namespace_assembly,grimoire_structural_namespace_assembly,grimoire,cmplog,"The two definitions (with 21) share the verbatim phrase ""co-dependent prefix+element structure,"" and the multi-construct definition already listed ""prefixed element"" as one of its own examples. Namespace assembly is literally that example promoted into its own cluster.",Grimoire Mutation Set = on,pro,9,grimoire_structural_pro,,n
23,grimoire_replicates_to_cross_the_threshold,grimoire_structural_quantitative_accumulation,grimoire,cmplog,"The blocker fires when some count crosses a threshold, enough attribute declarations, enough child elements, enough hash entries. Grimoire copies one valid substructure many times to push the counter over. Cmplog has no ""repeat this block N times"" move, so it rarely stumbles onto high counts.",Grimoire Mutation Set = on,pro,6,grimoire_structural_pro,,y
24,grimoire_preserves_the_critical_literal,grimoire_structural_token_preservation,grimoire,cmplog,"The blocker needs an exact value held steady while the rest of the input gets explored, a valid port number, a real font table pointer, with surrounding structure that still has to be searched. Grimoire can pin that value as fixed and vary everything around it. Cmplog can place the value but then keeps trashing it as it mutates elsewhere, because it has no concept of ""leave this part alone.""",Grimoire Mutation Set = on,pro,2,grimoire_structural_pro,,y
25,i2s_jumps_to_the_wrong_nearby_value,i2s_gradient_climb_interference,value_profile,value_profile_cmplog,"Adding input-to-state substitution (I2S) on top of that should help, but here it hurts. Instead of nudging closer, I2S grabs whole constants it saw in other comparisons and slams them into the input, so it keeps jumping to nearby-but-wrong values, anchors the corpus to literals the gate doesn't want, and on deep code paths just burns throughput. The steady climb gets knocked off course, so the fuzzer with I2S does worse than the one without it.",I2S,anti,13,i2s_anti,"anchored_seed_deviation sibling
45
46",y
26,i2s_useless_on_non_literal_gates,i2s_overhead_no_structural_traction,"value_profile
naive","cmplog
value_profile_cmplog","I2S (input-to-state substitution) has exactly one trick: it watches comparisons at runtime, and when it sees the program compare your input against some value, it splices that value back into your input at the matching offset. That only works when the thing the gate checks is a literal that lives in your input bytes, a magic number, a tag, a codepoint. The 42 branches in this cluster are the opposite: there's no such literal to grab. The gate is decided by something the program derives or accumulates, not by an input byte.",I2S,anti,42,i2s_anti,,y
27,i2s_exact_constant_substitution,i2s_pro_exact_integer_sentinel_substitution,"cmplog
value_profile_cmplog","value_profile
naive","The gate demands one exact value (a sentinel, checksum, enum, length, or magic string) that blind mutation can't guess and the distance gradient can't approximate; I2S reads that value straight off the comparison and pastes it into the input, so the I2S fuzzers win.",I2S,pro,26,i2s_pro,"28, 29, 32",y
28,i2s_format_magic_unlock.,i2s_pro_format_magic_entry_gate,"cmplog
value_profile_cmplog","value_profile
naive","The target branch lives inside a format-specific parser that only runs if the input's leading magic bytes are correct; I2S reads the expected magic off the format-dispatch comparison and pastes it at offset 0, unlocking the parser so the I2S fuzzers reach a branch the others can't even approach.",I2S,pro,7,i2s_pro,,n
29,i2s_named_constant_dispatch,i2s_pro_fourcc_enum_dispatch_tag,"cmplog
value_profile_cmplog","value_profile
naive","A switch/equality on a named constant (FOURCC table tag, machine code, chunk type, colorspace sig, scheme)  decides which handler runs; I2S reads that constant off the dispatch comparison and plants it in the field, so the I2S fuzzers reach the chosen arm that blind mutation and the distance gradient can't.",I2S,pro,176,i2s_pro,,n
30,i2s_multi-token_assembly,i2s_pro_protocol_grammar_string_assembly,"cmplog
value_profile_cmplog","value_profile
naive","The branch sits behind a well-formed multi-token structure (an HTTP message, an XML document, a SQL statement) that no single literal unlocks; I2S harvests each grammar token from its parser comparison and splices it in, assembling the scaffold step-by-step until the state machine reaches the downstream gate, something blind mutation can't compound.",I2S,pro,64,i2s_pro,,y
31,i2s_delimiter_at_right_offset,i2s_pro_single_byte_text_delimiter_substitution,"cmplog
value_profile_cmplog","value_profile
naive","A byte-at-a-time text parser gates on one specific delimiter at its cursor (: / ? NUL - tab); I2S reads that  byte off the per-character comparison and splices it at the matching cursor offset, so the I2S fuzzers place ""the right character in the right place"" that blind mutation misplaces and the gradient can't approach.",I2S,pro,14,i2s_pro,,y
32,i2s_count_unlocks_loop,i2s_pro_structural_count_enables_loop,"cmplog
value_profile_cmplog","value_profile
naive","The target branch is inside a for (i < count) loop, and the count only comes out positive if the input's structural header (magic, table tags, count fields) is consistent; I2S substitutes those exact header bytes so the derived count clears the loop guard, letting the I2S fuzzers enter a loop body the others never reach.",I2S,pro,14,i2s_pro,,n
33,i2s_overfits_common_path,i2s_prominent_literal_overcommit,"value_profile
naive","cmplog
value_profile_cmplog","The target branch is a rare/default/fallthrough path reached by drifting to uncommon bytes; I2S keeps pasting the prominent literals it intercepts (FOURCC tags, magic, enum cases), pinning the corpus to the well-known path and starving the rare branch, so plain havoc, which drifts freely, wins.",I2S,anti,13,i2s_anti,34,y
34,i2s_too_valid_for_error_branch,i2s_valid_structure_bias,"value_profile
naive","cmplog
value_profile_cmplog","The target branch only fires on an error/overflow/out-of-range condition; I2S keeps pasting valid, in-range operands that hold the input well-formed, so it never breaks, while plain havoc randomly overshoots into the bad range and wins.",I2S,anti,3,i2s_anti,,n
35,i2s_vp_multi-field_header_gate,icc_profile_header_fourcc_colorspace_gate,value_profile_cmplog,"cmplog
value_profile","The branch needs several exact 4-byte ICC header tags assembled into one specific class/colorspace combination; I2S nails each exact tag but loses the partial assemblies, VP retains the partial assemblies but can't complete an exact tag so only the fuzzer with both (value_profile_cmplog) wins, beating each single-technique fuzzer.","I2S
Value Profile",synergy,14,i2s_vp_synergy,,y
36,i2s_vp_fourcc_plus_integer_synergy,opentype_table_fourcc_and_sanitizer_integer_gate,value_profile_cmplog,"cmplog
value_profile","Reaching the branch needs an exact 4-byte OpenType table tag planted in the directory and the surrounding sanitizer integer fields climbed into joint consistency; I2S can only do the tag, VP's gradient can only do the integers, so only the combined fuzzer (value_profile_cmplog) clears both and wins over each single technique.","I2S
Value Profile",synergy,29,i2s_vp_synergy,38,y
37,i2s_vp_tag_chain_to_sentinel_synergy,ot_script_language_tag_sentinel_lookup,value_profile_cmplog,"cmplog
value_profile","A multi-step tag-lookup chain must be navigated to its no-match sentinel; I2S substitutes the operand bytes to jump toward the sentinel while VP's prefix-distance gradient retains the partially-walked sub-tag inputs as stepping-stones neither alone can traverse the dependent chain, so only the combined fuzzer wins.","I2S
Value Profile",synergy,4,i2s_vp_synergy,,y
38,i2s_vp_post_version_plus_glyph_bound_synergy,post_table_version_constant_equality_gate,value_profile_cmplog,"cmplog
value_profile","A post table needs an exact 4-byte version constant and an in-range glyph-name count; I2S plants the exact version while VP climbs the count into range, neither alone does both.","I2S
Value Profile",synergy,6,i2s_vp_synergy,,n
39,i2s_vp_sql_pragma_keyword_synergy,sql_pragma_keyword_token_gate,value_profile_cmplog,"cmplog
value_profile","Reaching the branch needs the exact PRAGMA keyword (and a real pragma name) at the input head; I2S jumps the whole keyword in, VP holds the near-miss prefixes as stepping-stones that feed I2S, so the combined fuzzer beats both the substitute-only and the climb-only fuzzer.","I2S
Value Profile",synergy,8,i2s_vp_synergy,47,y
40,i2s_vp_use_category_range_synergy,use_shaper_glyph_category_range_dispatch,value_profile_cmplog,"cmplog
value_profile","A USE state-machine transition needs a glyph category inside a range; VP climbs toward the range while I2S stamps the boundary byte, so only the combined fuzzer fires case 10.","I2S
Value Profile",synergy,2,i2s_vp_synergy,provisional: single branch,n
41,vp_byte_range_gradient,vp_cmpmap_byte_range_class_gradient,"value_profile
value_profile_cmplog","cmplog
naive","The gate is range/class membership (hex-digit, NameChar, category window), where plain edge feedback can't tell ""almost in range"" from ""way off""; VP's CMP_MAP distance buckets reward bytes inching toward the boundary, so it incrementally builds inputs that satisfy or violate the range, which naive and cmplog can't.",Value Profile,pro,7,vp_pro,44,y
42,vp_structural_chain_gradient,vp_cmpmap_cascaded_structural_gradient,"value_profile
value_profile_cmplog","cmplog
naive","The branch needs a deep state assembled from a chain of comparisons that must all hold; VP's CMP_MAP rewards each step of partial structural progress so it ratchets the whole cascade together, where naive and cmplog see only all-or-nothing and stall.",Value Profile,pro,41,vp_pro,46,y
43,vp_hamming_climb_to_literal,vp_cmpmap_exact_literal_gradient,value_profile,naive,"A single exact-literal gate that naive can only brute-force; VP's CMP_MAP rewards each byte that moves Hamming-closer, climbing the literal one byte at a time.",Value Profile,pro,62,vp_pro,,y
44,vp_numeric_boundary_gradient,vp_cmpmap_numeric_threshold_gradient,"value_profile
value_profile_cmplog","cmplog
naive","VP's CMP_MAP gradient ratchets a computed number (a count, length, or magnitude) across a threshold by rewarding each input that gets arithmetically closer, something naive and cmplog, seeing only ""below vs above,"" can't climb.",Value Profile,pro,5,vp_pro,,n
45,i2s_vp_destructive_interference (anti-synergy),vp_corpus_inflation_disrupts_i2s_resolution,"value_profile
cmplog
naive",value_profile_cmplog,"On an easy codepoint gate that naive, VP, and I2S all solve alone, running I2S and VP together uniquely breaks it, the corpus bloat + per-exec cost interfere destructively, so only value_profile_cmplog fails.",Value Profile,anti,2,vp_anti,,n
46,vp_only_i2s_cancels_gradient,vp_gradient_dominant_i2s_overhead_regresses,value_profile,"cmplog
naive
value_profile_cmplog","VP's CMP_MAP gradient is necessary and sufficient (it solves a gate naive/cmplog can't), but adding the I2S stage on top (vpc) so completely swamps the gradient with overhead/dilution that the combined fuzzer collapses to the same floor as the no-gradient baselines.","I2S
Value Profile",mixed,5,mixed,,n
47,xml_grammar_scaffold_synergy,xml_document_grammar_token_gate,value_profile_cmplog,"cmplog
value_profile","Reaching the target needs a valid XML/DTD document assembled from exact grammar tokens; I2S plants each token while VP retains the partially-built document as stepping-stones, neither alone gets deep enough, so only the combined fuzzer wins.","I2S
Value Profile",synergy,10,i2s_vp_synergy,,n
48,havoc_underflow_short_input,havoc_shrink_below_fixed_read_length,naive,"cmplog
naive_ctx
value_profile
value_profile_cmplog","The branch needs an input shorter than a fixed-size read; plain havoc deletes bytes down past the threshold and triggers the underflow, while directed techniques keep the corpus pinned to large valid inputs and never shrink that far.","I2S
Feedback mechanism = ctx_coverage",mixed,1,mixed,provisional: single branch,n
49,naive_solves_introspection_craters,naive_havoc_sufficient_introspection_hurts,naive,"cmplog
naive_ctx","A shallow paired-codepoint equality (Hebrew SHIN + SIN-DOT) that plain havoc lands 8/10; I2S can't touch the table-derived codepoint category and drops to 0/10, and context-coverage fragments the edge signal to 1/10, introspection is dead weight (or worse) on a gate with no structure to exploit.","I2S
Feedback mechanism = ctx_coverage",mixed,1,mixed,provisional: single branch,n
50,mopt_starves_keyword_assembly,mopt_scheduling_fails_structured_keyword_assembly,,,"The grammar-reduce branch needs SELECT + a long expression body, assembled mainly via token-dictionary mutators (TokenInsert/TokenReplace); naive's uniform random scheduling fires those ops often enough to build it, but MOpt's particle-swarm schedule down-weights them, so it never assembles/preserves the keyword and stays blocked.",StdMOptMutationalStage = on,anti,1,mopt_mutation_anti,provisional: single branch,n
51,ngram_fanout_diversity_retention,ngram_false_branch_fanout_diversity,naive_ngram4,naive,"A dispatch gate has many parallel false-side branches (content-type fan-out: CDATA / END_TAG / PI / start-tag / char-data); plain edge coverage treats them as a handful of edges and under-retains the variety, but ngram4's 4-edge path tuples make each distinct dispatch path its own coverage entry, so it keeps diverse non-default seeds and explores the fan-out that single-edge feedback flattens.",Feedback mechanism = ngram4,pro,1,ngram_coverage_pro,provisional: single branch,n
52,ngram_cascade_progress_retention,ngram_sequential_decode_cascade_retention,naive_ngram4,naive,"A multi-step sequential decode (UTF-8 surrogate conversion loop, BOM encoding-detection if-cascade, overlong-3-byte sequence) only fires after several decode steps; plain edge coverage collapses the repeated decode block to already-seen buckets and discards the near-miss intermediates, but ngram4's 4-edge path tuples make each step a novel coverage entry, so it retains the inputs progressing through the cascade.",Feedback mechanism = ngram4,pro,3,ngram_coverage_pro,,y
53,ngram_shallow_proliferation_starves_deep,ngram_shallow_path_proliferation_starves_deep,naive,naive_ngram4,"ngram4 gives each distinct 4-edge history fresh coverage credit, so on shallow tokenizers (xmlParseName/xmlParseCharData) every near-duplicate malformed short input registers as a ""new"" path-tuple, bloating the corpus with shallow noise and diluting energy away from the deep xmlParseReference→xmlAddChild path the branch needs; plain edge coverage doesn't over-reward those shallow variants, so naive pushes deeper.",Feedback mechanism = ngram4,anti,1,ngram_coverage_anti,provisional: single branch,n
